,World Rank,Region Rank,Year Score,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Score Category,Asia-Pacific,Europe,Middle East / North Africa,North America,South and Central America / Caribbean,Sub-Saharan Africa
143,116.0,19.0,55.5,40.0,29.0,65.2,75.6,56.7,41.3,79.6,72.2,55.0,40.0,8.9,50.0,25.0,18.8,28.5,13.4,25.2,2.6,3.5,1871.0,48.0,3.4,286.1,40.6,4,0,0,0,0,0,1
144,94.0,37.0,58.6,40.0,33.0,84.2,40.3,60.2,70.4,65.3,77.9,65.0,50.0,6.0,15.0,10.0,35.4,44.6,7.4,78.9,1.8,1.7,10642.0,23.4,11.2,2709.3,47.9,4,0,1,0,0,0,0
145,124.0,23.0,54.9,50.0,48.0,77.6,56.9,69.2,63.5,75.6,33.4,45.0,30.0,28.3,15.0,33.0,30.4,37.9,0.1,2.2,4.9,4.1,24726.0,2.0,2.6,143.9,83.0,4,0,0,0,0,0,1
147,2.0,2.0,88.0,90.0,92.0,91.1,91.3,97.1,91.4,82.0,90.0,75.0,80.0,0.0,20.0,17.0,14.1,17.0,5.3,314.9,4.9,5.7,59711.0,2.0,5.2,64003.2,100.8,1,1,0,0,0,0,0
148,42.0,20.0,68.7,50.0,40.0,84.7,58.0,71.0,72.2,79.1,86.8,75.0,70.0,1.6,19.0,19.0,28.4,37.4,5.4,126.9,3.3,3.6,23304.0,14.4,4.1,2142.9,44.6,3,0,1,0,0,0,0
149,76.0,34.0,61.7,60.0,59.0,65.7,22.3,80.7,40.4,81.6,86.8,70.0,50.0,1.6,41.0,18.0,37.7,50.9,2.0,57.9,-0.2,0.6,28642.0,8.4,1.8,999.2,47.3,3,0,1,0,0,0,0
152,74.0,6.0,61.8,50.0,41.0,70.5,69.2,74.7,55.6,75.8,76.3,45.0,60.0,4.4,40.0,28.0,23.8,32.0,50.6,555.1,3.1,2.7,10973.0,24.9,5.0,5807.4,38.8,3,0,0,0,0,0,1
153,46.0,22.0,68.0,70.0,62.0,53.9,43.0,80.3,54.3,79.9,86.8,80.0,70.0,1.6,52.0,30.0,31.7,43.6,46.2,1413.5,0.7,0.2,30626.0,25.1,3.1,29476.3,68.5,3,0,1,0,0,0,0
154,81.0,13.0,60.7,40.0,33.0,84.7,86.5,77.0,60.8,69.1,76.2,40.0,40.0,6.9,24.0,28.0,12.9,21.2,20.5,116.5,8.2,6.5,5674.0,4.2,6.7,300.0,78.5,3,1,0,0,0,0,0
156,135.0,23.0,52.0,40.0,30.0,71.6,72.5,40.2,77.5,66.7,66.3,25.0,30.0,11.9,38.0,36.0,10.0,30.3,0.5,5.1,4.5,3.1,9475.0,9.0,17.7,-585.2,20.6,4,0,0,0,0,1,0
157,104.0,16.0,57.2,40.0,31.0,74.4,51.3,66.0,70.3,74.7,69.7,55.0,40.0,10.2,33.0,30.0,23.8,40.3,1.2,6.2,0.3,1.9,5302.0,40.0,6.1,94.8,17.5,4,0,0,0,0,0,1
158,18.0,9.0,72.9,90.0,93.0,39.6,21.0,93.2,53.6,82.1,86.8,90.0,80.0,1.6,57.0,26.3,45.8,51.3,9.4,381.7,4.0,1.5,40394.0,7.8,1.4,12090.6,37.4,2,0,1,0,0,0,0
159,5.0,1.0,81.0,90.0,88.0,68.1,63.8,75.8,87.9,86.2,90.0,80.0,80.0,0.0,41.5,24.0,29.8,34.7,7.8,339.9,1.9,1.7,43370.0,4.2,0.2,-196.5,48.6,1,0,1,0,0,0,0
